_ID,city_label,longitude,latitude,geff2005,geff2006,geff2007,geff2008,geff2009,geff2010,geff2011,geff2012,geff2013,geff2014,geff2015,geff2016,geff2017,geff2018,geff2019
206,盐城市,120.1636,33.3474,0.8054,0.8648,0.8412,0.8730,0.9315,0.9926,0.9964,1.0000,0.8429,0.8289,0.7709,0.7023,0.7473,0.7288,0.9290
207,盘锦市,122.0707,41.1200,0.6074,0.6728,0.6412,0.5998,0.5429,0.6270,0.6014,0.5633,0.6065,0.5646,0.5842,0.5938,0.6518,0.5518,0.5590
208,眉山市,103.8485,30.0754,0.5358,0.5555,0.5144,0.6203,0.6311,0.6501,0.5477,0.5504,0.6108,0.7292,0.8369,0.6066,0.6238,0.6375,0.6204
209,石嘴山市,106.3833,38.9832,0.5863,1.0000,1.0000,1.0000,1.0000,0.7046,1.0000,1.0000,0.6819,0.7810,1.0000,1.0000,1.0000,1.0000,1.0000
210,石家庄市,114.5149,38.0423,0.5513,0.6492,0.6379,0.6613,0.6334,0.6587,0.6189,0.6546,0.7577,0.7036,0.7310,0.6115,0.7191,0.6451,0.5964
211,福州市,119.2965,26.0745,0.6054,0.7418,0.6841,0.6683,0.7019,0.7152,0.7059,0.7012,0.7453,0.7835,0.7155,0.7476,0.6651,0.6351,0.6808
212,秦皇岛市,119.6005,39.9354,0.5073,0.5920,0.6153,0.6209,0.5610,0.5639,0.5346,0.5284,0.6184,0.6044,0.6141,0.5903,0.6530,0.6581,0.6275
213,绍兴市,120.5802,30.0298,0.8114,0.8479,0.8010,0.7140,0.6877,0.7416,0.7781,1.0000,0.6452,0.6215,0.7148,0.5758,0.8369,0.5410,0.6670
214,绥化市,126.9689,46.6538,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9635,0.7420,0.5473
215,绵阳市,104.6791,31.4675,0.5027,0.7080,0.6593,0.5963,0.5258,0.5519,0.6091,0.6355,0.6327,0.6716,0.6504,0.6378,0.5724,0.6021,0.7620
216,聊城市,115.9854,36.4567,0.6027,0.7274,0.8309,0.8677,0.7442,0.6845,0.6050,0.6431,1.0000,0.7862,0.7506,0.6771,0.6814,0.6983,0.5363
217,肇庆市,112.4651,23.0472,0.6517,0.6817,0.6371,0.6414,0.6627,0.7649,0.7437,0.8638,0.7827,0.8336,0.7522,0.6547,0.5976,0.5452,0.6010
218,自贡市,104.7784,29.3390,0.5927,0.8598,0.6650,0.6308,0.6465,0.6662,0.8707,0.7567,0.8065,0.9293,0.9408,1.0000,1.0000,1.0000,1.0000
219,舟山市,122.2072,29.9853,0.6720,0.7857,0.7600,0.7085,0.6608,0.7019,0.7490,0.7362,0.8011,0.5336,0.5038,0.5395,0.7782,0.7458,0.8181
220,芜湖市,118.4329,31.3529,0.5571,0.6352,0.5499,0.5729,0.6430,0.6244,0.7827,0.7326,0.7516,0.7319,0.7347,0.6013,0.6772,0.6230,0.7781
221,苏州市,120.5853,31.2989,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8664,0.7866,1.0000,0.8094,0.7668,0.6959,0.7359
222,茂名市,110.9255,21.6630,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9800,0.8999,0.8699,0.8001,0.7558,0.7689
223,荆州市,112.2397,30.3352,0.5829,0.5585,0.4748,0.5371,0.5125,0.4871,0.4975,0.5413,0.5574,0.5624,0.5677,0.5566,0.5686,0.5692,0.6699
224,荆门市,112.1993,31.0354,0.4245,0.6086,0.5025,0.4758,0.5049,0.4856,0.4898,0.5274,0.5710,0.5589,0.5233,0.5286,0.5437,0.5115,0.5524
225,莆田市,119.0078,25.4541,0.5658,0.6364,0.6116,0.6196,0.6756,0.6826,0.6166,0.5971,0.5874,0.5521,0.5333,0.5185,0.5082,0.5638,0.7628
227,菏泽市,115.4807,35.2338,0.4094,0.4766,0.5165,0.6059,0.6219,0.6601,0.6881,0.9176,0.8799,0.8302,0.8398,0.7446,0.6578,0.6756,0.7795
228,萍乡市,113.8546,27.6228,0.4246,0.5986,0.5414,0.5180,0.4932,0.4705,0.5421,0.5053,0.5377,0.5681,0.5005,0.5082,0.6653,0.6656,0.6589
229,营口市,122.2354,40.6670,0.4261,0.5531,0.5929,0.5706,0.5351,0.5899,0.5476,0.6126,0.6019,0.6399,0.7956,0.7990,0.8373,0.8870,0.8275
230,葫芦岛市,120.8369,40.7111,0.3211,0.6264,0.5967,0.5369,0.6337,0.5658,0.6116,0.6413,0.6973,0.7232,1.0000,1.0000,0.8473,0.6399,0.5548
231,蚌埠市,117.3897,32.9163,0.6213,0.6792,0.6532,0.6254,0.5669,0.6524,0.5906,0.5579,0.6476,0.6454,0.6873,0.6215,0.6860,0.6206,0.7381
232,衡水市,115.6702,37.7389,0.6137,0.7525,0.7246,0.6765,0.6209,0.6204,0.5940,0.5997,0.6493,0.6071,0.5940,0.6348,0.8619,0.7291,0.7336
233,衡阳市,112.5720,26.8932,0.5358,0.7502,0.6619,0.6106,0.6111,0.5955,0.6211,0.6415,0.6475,0.6773,0.6526,0.6295,0.6692,0.6780,0.7424
234,衢州市,118.8595,28.9701,0.5622,0.5927,0.6073,0.6187,0.5624,0.6381,0.6172,0.7332,0.9833,0.9978,1.0000,0.7006,1.0000,0.7291,0.6991
235,襄阳市,112.1224,32.0090,0.5600,0.7158,0.6288,0.6297,0.6586,0.6825,0.7554,0.6910,0.7419,0.6841,0.6413,0.6196,0.6324,0.5680,0.5676
236,西宁市,101.7782,36.6171,0.2739,0.4431,0.4093,0.4034,0.4222,0.4322,0.4314,0.4419,0.4471,0.4156,0.4364,0.4886,0.5431,0.5687,1.0000
237,西安市,108.9402,34.3416,0.3927,0.4212,0.4100,0.4326,0.5129,0.5181,0.5035,0.5148,0.5332,0.5621,0.6407,0.7025,0.7222,0.7274,0.7456
238,许昌市,113.8526,34.0355,0.7755,0.8983,0.8464,0.9422,0.9510,0.9120,0.8010,0.8452,0.7478,0.7670,0.7185,0.6671,0.6567,0.6783,0.7250
239,贵港市,109.5989,23.1115,0.4007,0.5347,0.5919,0.5346,0.5440,0.5762,0.5531,1.0000,0.8577,0.6398,0.6407,1.0000,0.6172,0.6696,0.6705
240,贵阳市,106.6302,26.6477,0.2120,0.3402,0.3360,0.3810,0.3936,0.4167,0.4471,0.4730,0.4593,0.5162,0.5811,0.4741,0.4547,0.3962,0.4310
241,贺州市,111.5667,24.4036,0.4698,0.5700,0.5872,0.4972,0.3670,0.3865,0.3677,0.6464,0.5947,0.6026,0.6792,0.5996,0.5639,0.5686,0.6226
242,资阳市,104.6276,30.1289,0.6620,0.8143,0.8322,0.8191,0.7830,0.8194,1.0000,1.0000,1.0000,1.0000,1.0000,0.8505,0.9071,1.0000,0.7358
243,赣州市,114.9350,25.8318,0.6230,0.5795,0.6171,0.6147,0.6087,0.6439,0.5976,0.6535,0.6241,0.6184,0.5832,0.5921,0.5812,0.5673,0.6669
244,赤峰市,118.8869,42.2578,0.4413,0.6259,0.6972,0.7120,0.6808,0.6630,0.5882,0.6136,0.6159,0.7448,0.7166,0.7760,0.7450,0.5961,0.6449
245,辽源市,125.1435,42.8879,0.4208,0.5546,0.5872,0.6249,0.7641,0.7422,0.8327,0.8359,0.7355,0.7201,0.7258,0.7790,0.6038,0.6746,0.4781
246,辽阳市,123.2369,41.2672,0.5329,0.5859,0.6415,0.5757,0.5831,0.6606,0.5778,0.6355,0.7508,0.7776,1.0000,0.7150,0.6811,0.6107,0.6619
247,达州市,107.4680,31.2096,0.3992,0.6245,0.6668,0.5625,0.5436,0.6370,0.6637,0.6612,0.6608,0.6022,0.5482,0.5416,0.5434,0.5786,1.0000
248,运城市,111.0075,35.0264,0.3596,0.5965,0.5398,0.5640,0.4888,0.5333,0.5179,0.4861,0.6341,0.5147,0.4456,0.4766,0.5703,0.6159,1.0000
249,连云港市,119.2216,34.5967,0.5264,0.5400,0.5299,0.5532,0.6872,0.6718,0.6438,0.6879,0.6727,0.5930,0.6433,0.5557,0.6415,0.6163,0.7987
250,通化市,125.9397,41.7284,0.4010,0.4336,0.4407,0.4538,0.4382,0.5234,0.5527,0.7401,0.6673,0.6473,0.6984,0.4959,0.5438,0.4731,0.4151
251,通辽市,122.2434,43.6529,0.5989,0.6716,0.7373,0.6697,0.5924,0.8200,0.7933,0.7100,0.7409,0.7339,0.8167,0.7914,0.8478,0.5819,0.5576
252,遂宁市,105.5929,30.5328,0.6563,0.5651,0.6427,0.5560,0.5898,0.6912,0.6963,0.6708,0.6417,0.6464,0.6813,0.6039,0.6753,0.6664,0.5915
253,遵义市,106.9274,27.7257,0.4529,0.5571,0.6530,0.6335,0.6222,0.6918,0.6269,0.5208,0.5599,0.5935,0.7231,0.7457,1.0000,0.8117,0.8441
254,邢台市,114.5048,37.0706,0.4697,0.6663,0.6048,0.5482,0.5052,0.5290,0.5489,0.5277,0.5751,0.5628,0.5651,0.4935,0.5824,0.5551,0.5216
255,邯郸市,114.5390,36.6257,0.4636,0.6746,0.7185,0.7435,0.6528,0.6793,0.6601,0.6243,0.5307,0.4900,0.5307,0.5055,0.6918,0.6034,0.6431
256,邵阳市,111.4678,27.2389,0.6037,0.5422,0.5248,0.5220,0.5160,0.5891,0.6546,0.6813,0.6732,0.6160,0.6061,0.6350,0.6219,0.6033,0.6627
257,郑州市,113.6254,34.7466,0.5358,0.6751,0.6351,0.5944,0.6436,0.6339,0.5782,0.5605,0.5767,0.5567,0.5625,0.6137,0.5977,0.6079,0.7156
258,郴州市,113.0147,25.7705,0.5719,0.7808,0.7937,0.6928,0.6296,0.7146,0.6441,0.6878,0.7759,0.7959,0.8093,0.7153,0.6757,0.6843,0.6594
