序号,板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
4103,中小企业板,广州海鸥卫浴用品股份有限公司,海鸥卫浴,002084.SZ,制造业,广东省,广州市,37.8  
4104,中小企业板,广州海鸥卫浴用品股份有限公司,海鸥卫浴,002084.SZ,制造业,广东省,广州市,37.8  
4105,中小企业板,广州海鸥卫浴用品股份有限公司,海鸥卫浴,002084.SZ,制造业,广东省,广州市,37.8  
4106,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4107,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4108,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4109,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4110,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4111,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4112,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4113,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4114,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4115,中小企业板,苏州东山精密制造股份有限公司,东山精密,002384.SZ,制造业,江苏省,苏州市,37.7  
4116,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4117,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4118,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4119,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4120,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4121,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4122,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4123,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4124,中小企业板,深圳雷柏科技股份有限公司,雷柏科技,002577.SZ,制造业,广东省,深圳市,37.6  
4125,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4126,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4127,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4128,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4129,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4130,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4131,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4132,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4133,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4134,中小企业板,深圳市得润电子股份有限公司,得润电子,002055.SZ,制造业,广东省,深圳市,37.5  
4135,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4136,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4137,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4138,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4139,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4140,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4141,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4142,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4143,主板,九芝堂股份有限公司,九芝堂,000989.SZ,制造业,湖南省,长沙市,37.4  
4144,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4145,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4146,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4147,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4148,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4149,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4150,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4151,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
