序号,板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
4296,创业板,太阳鸟游艇股份有限公司,太阳鸟,300123.SZ,制造业,湖南省,沅江市,36.5  
4297,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4298,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4299,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4300,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4301,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4302,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4303,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4304,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4305,主板,上海家化联合股份有限公司,上海家化,600315.SH,制造业,上海,上海市,36.4  
4306,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4307,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4308,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4309,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4310,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4311,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4312,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4313,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4314,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4315,创业板,大禹节水集团股份有限公司,大禹节水,300021.SZ,制造业,甘肃省,酒泉市,36.4  
4316,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4317,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4318,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4319,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4320,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4321,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4322,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4323,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4324,中小企业板,天水华天科技股份有限公司,华天科技,002185.SZ,制造业,甘肃省,天水市,36.3  
4325,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4326,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4327,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4328,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4329,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4330,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4331,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4332,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4333,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4334,中小企业板,浙江伟星实业发展股份有限公司,伟星股份,002003.SZ,制造业,浙江省,临海市,36.3  
4335,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
4336,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
4337,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
4338,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
4339,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
4340,主板,浙江大丰实业股份有限公司,大丰实业,603081.SH,制造业,浙江省,余姚市,36.2  
