板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,北汽福田汽车股份有限公司,福田汽车,600166.SH,制造业,北京,北京市,763.7
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,中国中车股份有限公司,中国中车,601766.SH,制造业,北京,北京市,745.1
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,四川长虹电器股份有限公司,四川长虹,600839.SH,制造业,四川省,绵阳市,654.9
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,上海汽车集团股份有限公司,上汽集团,600104.SH,制造业,上海,上海市,650.6
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
